seasonNumber,speakerName,mentionedName,mentions
7,Ross,Phoebe,50
7,Ross,Rachel,48
8,Chandler,Joey,63
8,Chandler,Monica,98
8,Chandler,Phoebe,31
8,Chandler,Rachel,21
8,Chandler,Ross,42
8,Joey,Chandler,36
8,Joey,Monica,40
8,Joey,Phoebe,47
8,Joey,Rachel,111
8,Joey,Ross,97
8,Monica,Chandler,105
8,Monica,Joey,56
8,Monica,Phoebe,86
8,Monica,Rachel,63
8,Monica,Ross,34
8,Phoebe,Chandler,34
8,Phoebe,Joey,46
8,Phoebe,Monica,83
8,Phoebe,Rachel,68
8,Phoebe,Ross,32
8,Rachel,Chandler,19
8,Rachel,Joey,133
8,Rachel,Monica,52
8,Rachel,Phoebe,51
8,Rachel,Ross,170
8,Ross,Chandler,26
8,Ross,Joey,62
8,Ross,Monica,65
8,Ross,Phoebe,30
8,Ross,Rachel,146
9,Chandler,Joey,35
9,Chandler,Monica,43
9,Chandler,Phoebe,17
9,Chandler,Rachel,12
9,Chandler,Ross,25
9,Joey,Chandler,24
9,Joey,Monica,20
9,Joey,Phoebe,9
9,Joey,Rachel,49
9,Joey,Ross,46
9,Monica,Chandler,44
9,Monica,Joey,22
9,Monica,Phoebe,38
9,Monica,Rachel,21
9,Monica,Ross,12
9,Phoebe,Chandler,18
9,Phoebe,Joey,21
9,Phoebe,Monica,20
9,Phoebe,Rachel,30
9,Phoebe,Ross,20
9,Rachel,Chandler,17
9,Rachel,Joey,61
9,Rachel,Monica,26
9,Rachel,Phoebe,38
9,Rachel,Ross,56
9,Ross,Chandler,10
9,Ross,Joey,57
9,Ross,Monica,11
9,Ross,Phoebe,19
9,Ross,Rachel,62
10,Chandler,Joey,18
10,Chandler,Monica,19
10,Chandler,Phoebe,4
10,Chandler,Rachel,6
10,Chandler,Ross,9
10,Joey,Chandler,12
10,Joey,Monica,8
10,Joey,Phoebe,8
10,Joey,Rachel,11
10,Joey,Ross,23
10,Monica,Chandler,23
10,Monica,Joey,16
10,Monica,Phoebe,17
10,Monica,Rachel,11
10,Monica,Ross,7
10,Phoebe,Chandler,5
10,Phoebe,Joey,14
10,Phoebe,Monica,7
10,Phoebe,Rachel,20
10,Phoebe,Ross,14
10,Rachel,Chandler,3
10,Rachel,Joey,22
10,Rachel,Monica,9
10,Rachel,Phoebe,24
10,Rachel,Ross,56
10,Ross,Chandler,17
10,Ross,Joey,16
10,Ross,Monica,27
10,Ross,Phoebe,14
10,Ross,Rachel,53
